classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,results
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,digest32,32,1,1,1.0,77250.0,77250.0,0.0,0.0,77250.0,77250.0,77250.0,77250.0,77250.0,77250.0,80000.0,12944.983818770226,0,retained_all_samples,48365568,0,0,1270,1270,1270,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,large16384,16384,1,1,1.0,155292.0,155292.0,0.0,0.0,155292.0,155292.0,155292.0,155292.0,155292.0,155292.0,158000.0,6439.481750508719,0,retained_all_samples,48365568,0,0,1267,1267,1267,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,medium256,256,1,1,1.0,72958.0,72958.0,0.0,0.0,72958.0,72958.0,72958.0,72958.0,72958.0,72958.0,76000.0,13706.51607774336,0,retained_all_samples,48365568,0,0,1269,1269,1269,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,small64,64,1,1,1.0,71791.0,71791.0,0.0,0.0,71791.0,71791.0,71791.0,71791.0,71791.0,71791.0,74000.0,13929.322617041133,0,retained_all_samples,48365568,0,0,1276,1276,1276,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,transaction512,512,1,1,1.0,82542.0,82542.0,0.0,0.0,82542.0,82542.0,82542.0,82542.0,82542.0,82542.0,86000.0,12115.044462213176,0,retained_all_samples,48365568,0,0,1272,1272,1272,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,FN-DSA-1024,verify_tampered_signature,vote192,192,1,1,1.0,72375.0,72375.0,0.0,0.0,72375.0,72375.0,72375.0,72375.0,72375.0,72375.0,75000.0,13816.92573402418,0,retained_all_samples,48365568,0,0,1264,1264,1264,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,block4096,4096,2,2,1.0,147562.5,147562.5,13287.243525276415,0.09004485235257206,138167.0,156018.45,156770.09,156958.0,138167.0,156958.0,149500.0,6776.789495976282,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,digest32,32,2,2,1.0,142458.0,142458.0,4419.4173824159225,0.031022598818008975,139333.0,145270.5,145520.5,145583.0,139333.0,145583.0,144500.0,7019.612798158054,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,large16384,16384,2,2,1.0,194667.0,194667.0,7188.447537542442,0.03692689329748977,189584.0,199241.7,199648.34,199750.0,189584.0,199750.0,198000.0,5136.977505175505,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,rejected
MEASURED,negative,aegis_domain_wrapper,ML-DSA-65,verify_tampered_signature,medium256,256,2,2,1.0,116541.5,116541.5,8662.765176316394,0.07433202057907608,110416.0,122054.45,122544.49,122667.0,110416.0,122667.0,119000.0,8580.6343662987,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,rejected
